countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
Réunion,422,0,0,0,300,0,122,2,0,0.0,71.1
Kenya,411,0,21,0,150,0,240,2,21702,5.1,36.5
Palestine,353,0,2,0,76,0,275,0,32200,0.6,21.5
West Bank and Gaza,353,0,2,0,76,0,275,0,0,0.6,21.5
Venezuela,335,0,10,0,148,6,177,2,458737,3.0,44.2
Paraguay,333,67,10,0,115,2,208,5,10342,3.0,34.5
Mauritius,332,0,10,0,312,0,10,3,16028,3.0,94.0
Montenegro,322,0,7,0,240,7,75,2,6864,2.2,74.5
Isle of Man,316,0,22,0,271,0,23,21,3228,7.0,85.8
Equatorial Guinea,315,0,1,0,9,0,305,0,854,0.3,2.9
Gabon,276,0,3,0,67,0,206,1,724,1.1,24.3
Vietnam,270,0,0,0,219,0,51,8,261004,0.0,81.1
Guinea-Bissau,257,0,1,0,19,0,237,0,1500,0.4,7.4
Rwanda,249,0,0,0,109,0,140,0,10969,0.0,43.8
Congo (Brazzaville),229,0,9,0,25,0,195,0,0,3.9,10.9
Faroe Islands,187,0,0,0,184,0,3,0,8021,0.0,98.4
Martinique,179,0,14,0,83,0,82,5,0,7.8,46.4
Guadeloupe,152,0,12,0,95,0,45,6,0,7.9,62.5
Liberia,152,0,18,0,45,0,89,0,0,11.8,29.6
Myanmar,151,0,6,0,31,0,114,0,8281,4.0,20.5
Burma,151,0,6,0,31,0,114,0,0,4.0,20.5
Gibraltar,144,0,0,0,131,0,13,0,2626,0.0,91.0
Brunei,138,0,1,0,126,2,11,2,13924,0.7,91.3
Sierra Leone,136,0,7,0,21,0,108,0,0,5.1,15.4
Ethiopia,133,0,3,0,69,3,61,0,19857,2.3,51.9
Madagascar,132,0,0,0,94,0,38,1,3228,0.0,71.2
French Guiana,128,0,1,0,98,0,29,2,0,0.8,76.6
Togo,123,0,9,0,66,0,48,0,7100,7.3,53.7
Cabo Verde,122,0,1,0,18,0,103,0,791,0.8,14.8
Cambodia,122,0,0,0,120,1,2,1,12222,0.0,98.4
Trinidad and Tobago,116,0,8,0,83,2,25,0,1838,6.9,71.6
Bermuda,114,0,6,0,48,0,60,4,2791,5.3,42.1
Zambia,109,0,3,0,74,0,32,1,5284,2.8,67.9
Eswatini,106,0,1,0,12,0,93,0,714,0.9,11.3
Aruba,100,0,2,0,81,0,17,4,1721,2.0,81.0
Monaco,95,0,4,0,73,0,18,1,0,4.2,76.8
Benin,90,0,2,0,42,0,46,0,0,2.2,46.7
Uganda,85,0,0,0,52,0,33,0,33818,0.0,61.2
Haiti,85,4,8,0,10,2,67,0,848,9.4,11.8
Bahamas,82,1,11,0,24,-1,47,1,1313,13.4,29.3
Guyana,82,0,9,0,22,0,51,2,579,11.0,26.8
Liechtenstein,82,0,1,0,55,0,26,0,900,1.2,67.1
Barbados,81,0,7,0,39,0,35,4,2317,8.6,48.1
